ESG Bond Type;Issue Year;Issued Amount (USD);TRBC Sector;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;150928899;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;51635000;Government;
Green Bond;2023;109766472;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;225378;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;1471522113;Government;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;128975604;Private Entity;
Green Bond;2023;150928899;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;109766472;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;1549050000;Government;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;8506902;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;96045663;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;123487281;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;1607214762;Government;
Green Bond;2023;5488324;Private Entity;
Green Bond;2023;727202876;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;96045663;Private Entity;
Green Bond;2023;102906067;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;10327000;Private Entity;
Green Bond;2023;64487802;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;21300000;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;102687855;Government;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;1884878463;Government;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;52139074;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;164649708;Private Entity;
Green Bond;2023;87813177;Private Entity;
Green Bond;2023;8902579;Private Entity;
Green Bond;2023;1126888;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;225378;Private Entity;
Green Bond;2023;18415666;Private Entity;
Green Bond;2023;210000000;Private Entity;
Green Bond;2023;46650751;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;25671964;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;5677965;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;41281374;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;75682519;Private Entity;
Green Bond;2023;115082023;Government;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;25671964;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;258175000;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;38507945;Private Entity;
Green Bond;2023;80678357;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;6880229;Private Entity;
Green Bond;2023;2253775;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;47329277;Private Entity;
Green Bond;2023;20283976;Private Entity;
Green Bond;2023;15000000;Private Entity;
Green Bond;2023;5968382;Private Entity;
Green Bond;2023;1126888;Private Entity;
Green Bond;2023;13760458;Private Entity;
Green Bond;2023;82707437;Private Entity;
Green Bond;2023;63000000;Private Entity;
Green Bond;2023;41281374;Private Entity;
Green Bond;2023;82616000;Private Entity;
Green Bond;2023;34401145;Private Entity;
Green Bond;2023;38418265;Private Entity;
Green Bond;2023;103203435;Private Entity;
Green Bond;2023;51635000;Private Entity;
Green Bond;2023;13760458;Private Entity;
Green Bond;2023;2000000;Private Entity;
Green Bond;2023;14000000;Private Entity;
Green Bond;2023;774525000;Government;
Green Bond;2023;686040449;Government;
Green Bond;2023;3012010;Private Entity;
Green Bond;2023;178051582;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;48161603;Private Entity;
Green Bond;2023;13760458;Private Entity;
Green Bond;2023;343020224;Private Entity;
Green Bond;2023;17442062;Supranational Institution;
Green Bond;2023;11100000;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;11566240;Private Entity;
Green Bond;2023;10000000;Private Entity;
Green Bond;2023;51548783;Private Entity;
Green Bond;2023;103270000;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;68558265;Private Entity;
Green Bond;2023;109766472;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;22203050;Private Entity;
Green Bond;2023;332305;Private Entity;
Green Bond;2023;20000000;Private Entity;
Green Bond;2023;34279133;Private Entity;
Green Bond;2023;6880229;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;768365303;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;13760458;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;96045663;Private Entity;
Green Bond;2023;716000000;Private Entity;
Green Bond;2023;727952;Private Entity;
Green Bond;2023;686040449;Private Entity;
Green Bond;2023;1126888;Private Entity;
Green Bond;2023;79122633;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;45705510;Private Entity;
Green Bond;2023;22852755;Private Entity;
Green Bond;2023;27520916;Private Entity;
Green Bond;2023;48161603;Private Entity;
Green Bond;2023;27520916;Private Entity;
Green Bond;2023;27423306;Private Entity;
Green Bond;2023;41134959;Private Entity;
Green Bond;2023;34279133;Private Entity;
Green Bond;2023;36564408;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;54846612;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;103270000;Private Entity;
Green Bond;2023;24697456;Private Entity;
Green Bond;2023;73128816;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;118098612;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;823248539;Government;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;73128816;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;206406869;Private Entity;
Green Bond;2023;10327000;Private Entity;
Green Bond;2023;91411021;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;20640687;Private Entity;
Green Bond;2023;89442977;Private Entity;
Green Bond;2023;219925225;Private Entity;
Green Bond;2023;750000000;Private Entity;
Green Bond;2023;750000000;Private Entity;
Green Bond;2023;77796417;Private Entity;
Green Bond;2023;86002862;Private Entity;
Green Bond;2023;33025099;Private Entity;
Green Bond;2023;6880229;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;10867627;Private Entity;
Green Bond;2023;13760458;Private Entity;
Green Bond;2023;343020224;Private Entity;
Green Bond;2023;103270000;Private Entity;
Green Bond;2023;82324854;Private Entity;
Green Bond;2023;45705510;Private Entity;
Green Bond;2023;57627398;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;1500000;Private Entity;
Green Bond;2023;2000000;Private Entity;
Green Bond;2023;41281374;Private Entity;
Green Bond;2023;36564408;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;178370517;Private Entity;
Green Bond;2023;274906532;Private Entity;
Green Bond;2023;96323206;Private Entity;
Green Bond;2023;50000000;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;19209133;Private Entity;
Green Bond;2023;61922061;Private Entity;
Green Bond;2023;68802290;Private Entity;
Green Bond;2023;3380663;Private Entity;
Green Bond;2023;25817500;Private Entity;
Green Bond;2023;150000000;Private Entity;
Green Bond;2023;1126888;Private Entity;
Green Bond;2023;73128816;Private Entity;
Green Bond;2023;6880229;Private Entity;
Green Bond;2023;255338045;Private Entity;
Green Bond;2023;219532944;Private Entity;
Green Bond;2023;279837694;Private Entity;
Green Bond;2023;34401145;Private Entity;
Green Bond;2023;836969348;Private Entity;
Green Bond;2023;219532944;Private Entity;
Green Bond;2023;27423306;Private Entity;
Green Bond;2023;6880229;Private Entity;
Green Bond;2023;111841410;Private Entity;
Green Bond;2023;880000;Private Entity;
Green Bond;2023;44721488;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;123487281;Private Entity;
Green Bond;2023;36564408;Private Entity;
Green Bond;2023;14991407;Private Entity;
Green Bond;2023;150000000;Private Entity;
Green Bond;2023;274906532;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;45705510;Private Entity;
Green Bond;2023;22852755;Private Entity;
Green Bond;2023;41134959;Private Entity;
Green Bond;2023;68558265;Private Entity;
Green Bond;2023;1074000;Private Entity;
Green Bond;2023;6880229;Private Entity;
Green Bond;2023;68802290;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;500000000;Private Entity;
Green Bond;2023;91411021;Private Entity;
Green Bond;2023;31993857;Private Entity;
Green Bond;2023;31993857;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;27423306;Private Entity;
Green Bond;2023;7270084;Supranational Institution;
Green Bond;2023;13894176;Private Entity;
Green Bond;2023;30458090;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;308569;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;500000000;Government;
Green Bond;2023;500000000;Government;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;205812135;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;20640687;Private Entity;
Green Bond;2023;28813699;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;48022831;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;900000000;Private Entity;
Green Bond;2023;600000000;Private Entity;
Green Bond;2023;313550000;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;5163500;Private Entity;
Green Bond;2023;12392400;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;150000000;Private Entity;
Green Bond;2023;6196200;Private Entity;
Green Bond;2023;18514709;Private Entity;
Green Bond;2023;3777000;Private Entity;
Green Bond;2023;2065400;Private Entity;
Green Bond;2023;22852755;Private Entity;
Green Bond;2023;22852755;Private Entity;
Green Bond;2023;59190569;Private Entity;
Green Bond;2023;109766472;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;10327000;Private Entity;
Green Bond;2023;20668986;Private Entity;
Green Bond;2023;13711653;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;5163500;Private Entity;
Green Bond;2023;44512895;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;1032700;Private Entity;
Green Bond;2023;309810000;Private Entity;
Green Bond;2023;6961325;Private Entity;
Green Bond;2023;411624269;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;29867605;Private Entity;
Green Bond;2023;172005724;Private Entity;
Green Bond;2023;2581750;Private Entity;
Green Bond;2023;240114157;Private Entity;
Green Bond;2023;164943919;Private Entity;
Green Bond;2023;67125500;Private Entity;
Green Bond;2023;66050198;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;722890000;Private Entity;
Green Bond;2023;350000000;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;77699367;Private Entity;
Green Bond;2023;59417163;Private Entity;
Green Bond;2023;8902579;Private Entity;
Green Bond;2023;2058121347;Private Entity;
Green Bond;2023;73128816;Private Entity;
Green Bond;2023;109693225;Private Entity;
Green Bond;2023;108433500;Private Entity;
Green Bond;2023;96045663;Private Entity;
Green Bond;2023;411624269;Private Entity;
Green Bond;2023;40684786;Private Entity;
Green Bond;2023;18282204;Private Entity;
Green Bond;2023;50766993;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;452484552;Private Entity;
Green Bond;2023;36564408;Private Entity;
Green Bond;2023;146257633;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;164649708;Private Entity;
Green Bond;2023;5163500;Private Entity;
Green Bond;2023;96045663;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;1372080898;Private Entity;
Green Bond;2023;826160000;Private Entity;
Green Bond;2023;13760458;Private Entity;
Green Bond;2023;34401145;Private Entity;
Green Bond;2023;686040449;Private Entity;
Green Bond;2023;1372080898;Private Entity;
Green Bond;2023;4116242694;Private Entity;
Green Bond;2023;82324854;Private Entity;
Green Bond;2023;1032700000;Private Entity;
Green Bond;2023;1372080898;Private Entity;
Green Bond;2023;150928899;Private Entity;
Green Bond;2023;43357756;Private Entity;
Green Bond;2023;13711653;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;774525000;Private Entity;
Green Bond;2023;187975083;Private Entity;
Green Bond;2023;2253775;Private Entity;
Green Bond;2023;20654000;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;45705510;Private Entity;
Green Bond;2023;64487802;Private Entity;
Green Bond;2023;34401145;Private Entity;
Green Bond;2023;51601717;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;62766042;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;411624269;Private Entity;
Green Bond;2023;77699367;Private Entity;
Green Bond;2023;20640687;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;96045663;Private Entity;
Green Bond;2023;93987542;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;3704618424;Private Entity;
Green Bond;2023;1250000000;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;4116242694;Private Entity;
Green Bond;2023;137604579;Private Entity;
Green Bond;2023;109766472;Private Entity;
Green Bond;2023;50000000;Private Entity;
Green Bond;2023;18072250;Private Entity;
Green Bond;2023;22852755;Private Entity;
Green Bond;2023;38309115;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;172241552;Private Entity;
Green Bond;2023;50060329;Private Entity;
Green Bond;2023;219925225;Private Entity;
Green Bond;2023;900000000;Private Entity;
Green Bond;2023;18282204;Private Entity;
Green Bond;2023;27423306;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;1372080898;Private Entity;
Green Bond;2023;4116242694;Private Entity;
Green Bond;2023;627100000;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;1029060673;Private Entity;
Green Bond;2023;1032700000;Private Entity;
Green Bond;2023;145138940;Private Entity;
Green Bond;2023;20640687;Private Entity;
Green Bond;2023;1580031;Private Entity;
Green Bond;2023;77699367;Private Entity;
Green Bond;2023;36564408;Private Entity;
Green Bond;2023;380000;Private Entity;
Green Bond;2023;930675000;Private Entity;
Green Bond;2023;170442050;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;1032700000;Private Entity;
Green Bond;2023;500000000;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;205812135;Private Entity;
Green Bond;2023;372270000;Private Entity;
Green Bond;2023;91411021;Private Entity;
Green Bond;2023;182822041;Private Entity;
Green Bond;2023;26707737;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;82324854;Private Entity;
Green Bond;2023;103336286;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;205812135;Private Entity;
Green Bond;2023;500000000;Government;
Green Bond;2023;500000000;Government;
Green Bond;2023;34401145;Private Entity;
Green Bond;2023;68802290;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;3155786065;Private Entity;
Green Bond;2023;82324854;Private Entity;
Green Bond;2023;34401145;Private Entity;
Green Bond;2023;365644082;Private Entity;
Green Bond;2023;89025791;Private Entity;
Green Bond;2023;200000000;Private Entity;
Green Bond;2023;400000000;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;82324854;Private Entity;
Green Bond;2023;6196200;Private Entity;
Green Bond;2023;198150594;Private Entity;
Green Bond;2023;1372080898;Private Entity;
Green Bond;2023;31159027;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;2744161796;Private Entity;
Green Bond;2023;10327000;Private Entity;
Green Bond;2023;103203435;Private Entity;
Green Bond;2023;24311380;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;41281374;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;500000000;Private Entity;
Green Bond;2023;254568472;Private Entity;
Green Bond;2023;54981306;Private Entity;
Green Bond;2023;109962613;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;27423306;Private Entity;
Green Bond;2023;205812135;Private Entity;
Green Bond;2023;5462944;Private Entity;
Green Bond;2023;20909256;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;300000000;Private Entity;
Green Bond;2023;411624269;Private Entity;
Green Bond;2023;686040449;Private Entity;
Green Bond;2023;205812135;Private Entity;
Green Bond;2023;171510112;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;353972662;Private Entity;
Green Bond;2023;525000000;Private Entity;
Green Bond;2023;525000000;Private Entity;
Green Bond;2023;19600000;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;15678102;Private Entity;
Green Bond;2023;671255000;Private Entity;
Green Bond;2023;71348207;Private Entity;
Green Bond;2023;19548863;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;27520916;Private Entity;
Green Bond;2023;70000000;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;90282923;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;699594235;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;150928899;Private Entity;
Green Bond;2023;68802290;Private Entity;
Green Bond;2023;25817500;Private Entity;
Green Bond;2023;1372080898;Private Entity;
Green Bond;2023;13413270;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;200000000;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;7500000;Private Entity;
Green Bond;2023;205812135;Private Entity;
Green Bond;2023;500000000;Private Entity;
Green Bond;2023;23323976;Private Entity;
Green Bond;2023;6676934;Private Entity;
Green Bond;2023;1032700000;Private Entity;
Green Bond;2023;507000000;Private Entity;
Green Bond;2023;37626000;Private Entity;
Green Bond;2023;313550000;Private Entity;
Green Bond;2023;500000000;Private Entity;
Green Bond;2023;18282204;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;109766472;Private Entity;
Green Bond;2023;192434572;Private Entity;
Green Bond;2023;288136989;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;96045663;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;300000000;Private Entity;
Green Bond;2023;77452500;Private Entity;
Green Bond;2023;54846612;Private Entity;
Green Bond;2023;82324854;Private Entity;
Green Bond;2023;548832359;Private Entity;
Green Bond;2023;113200000;Private Entity;
Green Bond;2023;63987714;Private Entity;
Green Bond;2023;600000000;Private Entity;
Green Bond;2023;27423306;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;22852755;Private Entity;
Green Bond;2023;9141102;Private Entity;
Green Bond;2023;68802290;Private Entity;
Green Bond;2023;198150594;Private Entity;
Green Bond;2023;500000000;Private Entity;
Green Bond;2023;68558265;Private Entity;
Green Bond;2023;71348207;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;45705510;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;297327550;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;400000000;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;400000000;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;137604579;Private Entity;
Green Bond;2023;823248539;Private Entity;
Green Bond;2023;100161906;Private Entity;
Green Bond;2023;255207047;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;62318054;Private Entity;
Green Bond;2023;4507550;Private Entity;
Green Bond;2023;91399469;Private Entity;
Green Bond;2023;349797118;Private Entity;
Green Bond;2023;349797118;Private Entity;
Green Bond;2023;1126888;Private Entity;
Green Bond;2023;36564408;Private Entity;
Green Bond;2023;328464333;Government;
Green Bond;2023;22593401;Private Entity;
Green Bond;2023;2567196365;Government;
Green Bond;2023;328464333;Government;
Green Bond;2023;54732349;Private Entity;
Green Bond;2023;72934140;Private Entity;
Green Bond;2023;46235139;Private Entity;
Green Bond;2023;6880229;Private Entity;
Green Bond;2023;30731407;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;120743119;Private Entity;
Green Bond;2023;75464449;Private Entity;
Green Bond;2023;48161603;Private Entity;
Green Bond;2023;309810000;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;178370517;Private Entity;
Green Bond;2023;34401145;Private Entity;
Green Bond;2023;59417163;Private Entity;
Green Bond;2023;22852755;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;1000000000;Private Entity;
Green Bond;2023;309810000;Private Entity;
Green Bond;2023;1138827145;Private Entity;
Green Bond;2023;500000000;Private Entity;
Green Bond;2023;300000000;Private Entity;
Green Bond;2023;875210;Private Entity;
Green Bond;2023;4941000;Private Entity;
Green Bond;2023;44286980;Private Entity;
Green Bond;2023;280000000;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;92883091;Private Entity;
Green Bond;2023;480228314;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;29524653;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;288136989;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;2127500;Government;
Green Bond;2023;205812135;Private Entity;
Green Bond;2023;132954639;Private Entity;
Green Bond;2023;109766472;Private Entity;
Green Bond;2023;411624269;Private Entity;
Green Bond;2023;960456629;Private Entity;
Green Bond;2023;164649708;Private Entity;
Green Bond;2023;411624269;Private Entity;
Green Bond;2023;13760458;Private Entity;
Green Bond;2023;45705510;Private Entity;
Green Bond;2023;100000000;Private Entity;
Green Bond;2023;411624269;Private Entity;
Green Bond;2023;82324854;Private Entity;
Green Bond;2023;5163500;Private Entity;
Green Bond;2023;300000000;Private Entity;
Green Bond;2023;45705510;Private Entity;
Green Bond;2023;4116242694;Private Entity;
Green Bond;2023;205812135;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;219386449;Private Entity;
Green Bond;2023;2744161796;Private Entity;
Green Bond;2023;201400000;Private Entity;
Green Bond;2023;21796565;Private Entity;
Green Bond;2023;45705510;Private Entity;
Green Bond;2023;205812135;Private Entity;
Green Bond;2023;154646350;Private Entity;
Green Bond;2023;50000000;Private Entity;
Green Bond;2023;46159026;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;205812135;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;50000000;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;500000000;Private Entity;
Green Bond;2023;309810000;Private Entity;
Green Bond;2023;600000000;Private Entity;
Green Bond;2023;10327000;Private Entity;
Green Bond;2023;71348207;Private Entity;
Green Bond;2023;18282204;Private Entity;
Green Bond;2023;310225;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;50276061;Private Entity;
Green Bond;2023;63987714;Private Entity;
Green Bond;2023;1097664718;Private Entity;
Green Bond;2023;205812135;Private Entity;
Green Bond;2023;50276061;Private Entity;
Green Bond;2023;27423306;Private Entity;
Green Bond;2023;500000000;Private Entity;
Green Bond;2023;46235139;Private Entity;
Green Bond;2023;164943919;Private Entity;
Green Bond;2023;109766472;Private Entity;
Green Bond;2023;23188167;Private Entity;
Green Bond;2023;192091326;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;36564408;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;175000000;Private Entity;
Green Bond;2023;132100396;Private Entity;
Green Bond;2023;79580692;Private Entity;
Green Bond;2023;68558265;Private Entity;
Green Bond;2023;397637939;Private Entity;
Green Bond;2023;23325375;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;45705510;Private Entity;
Green Bond;2023;5878895;Private Entity;
Green Bond;2023;1139000;Private Entity;
Green Bond;2023;133091847;Private Entity;
Green Bond;2023;34401145;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;208928964;Private Entity;
Green Bond;2023;700000000;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;774525000;Private Entity;
Green Bond;2023;86840469;Private Entity;
Green Bond;2023;6000000;Private Entity;
Green Bond;2023;27423306;Private Entity;
Green Bond;2023;1250000000;Private Entity;
Green Bond;2023;18282204;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;2065400;Private Entity;
Green Bond;2023;91411021;Private Entity;
Green Bond;2023;114263776;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;45705510;Private Entity;
Green Bond;2023;214815898;Private Entity;
Green Bond;2023;54846612;Private Entity;
Green Bond;2023;422483164;Private Entity;
Green Bond;2023;1032700000;Private Entity;
Green Bond;2023;89025791;Private Entity;
Green Bond;2023;89025791;Private Entity;
Green Bond;2023;73128816;Private Entity;
Green Bond;2023;435000000;Private Entity;
Green Bond;2023;435000000;Private Entity;
Green Bond;2023;5163500;Private Entity;
Green Bond;2023;309810000;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;16030779;Private Entity;
Green Bond;2023;99884085;Private Entity;
Green Bond;2023;41281374;Private Entity;
Green Bond;2023;182822041;Private Entity;
Green Bond;2023;95981572;Private Entity;
Green Bond;2023;1126888;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;59417163;Private Entity;
Green Bond;2023;9141102;Private Entity;
Green Bond;2023;671255000;Private Entity;
Green Bond;2023;25817500;Private Entity;
Green Bond;2023;60929300;Private Entity;
Green Bond;2023;516350000;Private Entity;
