Province,Year,FDI,FDICAPITA,SEZ,SEZNUM,SEZ_Sector,Population,Minimum_Wage
Lampung,2022,247826,2868832.45,0,0,No_SEZ,0.086385665,Road_Density
Maluku,2022,73444,1164431.91,0,0,No_SEZ,0.063072816,Road_Density
Maluku Utara,2022,4487465,57731435.79,1,1,Manufacturing,0.077730009,Road_Density
Nusa Tenggara Barat,2022,704560,5398231.76,1,1,Tourism,0.130516812,Road_Density
Nusa Tenggara Timur,2022,73319,743694.02,0,0,No_SEZ,0.098587589,Road_Density
Papua,2022,1260531,78240239.52,0,0,No_SEZ,0.016111032,Road_Density
Papua Barat,2022,71831,2028908.47,1,1,Manufacturing,0.035403766,Road_Density
Riau,2022,2748701,59003951.96,0,0,No_SEZ,0.046585032,Road_Density
Sulawesi Barat,2022,28286,424724.66,0,0,No_SEZ,0.06659844,Road_Density
Sulawesi Selatan,2022,469003,5845954.72,0,0,No_SEZ,0.08022693,Road_Density
Sulawesi Tengah,2022,7485988,115562445.04,1,1,Manufacturing,0.064778726,Road_Density
Sulawesi Tenggara,2022,877936,13368401.71,0,0,No_SEZ,0.065672473,Road_Density
Sulawesi Utara,2022,105131,542745.92,1,2,Manufacturing,0.193702056,Road_Density
Sumatera Barat,2022,95625,1362782.43,0,0,No_SEZ,0.070168941,Road_Density
Sumatera Selatan,2022,1226254,36289364.67,0,0,No_SEZ,0.033791002,Road_Density
Sumatera Utara,2022,1316127,17072976.77,1,1,Manufacturing,0.077088314,Road_Density
