year,region,id,milk_price,cheese_price
2022,9.0,UKD,1.45,20.530001
2022,10.0,UKC,1.45,22.0
2022,11.0,UKL,1.45,21.25
2022,12.0,UKM,1.45,18.82
2022,13.0,UKN,1.45,19.0
2023,2.0,UKI,1.55,22.5
2023,3.0,UKJ,1.55,19.455
2023,4.0,UKK,1.55,21.18
2023,5.0,UKH,1.55,19.41
2023,6.0,UKF,1.55,20.0
2023,7.0,UKG,1.55,22.5
2023,8.0,UKE,1.55,21.18
2023,9.0,UKD,1.55,21.120001
2023,10.0,UKC,1.55,23.5
2023,11.0,UKL,1.55,22.5
2023,12.0,UKM,1.55,20.879999
2023,13.0,UKN,1.65,23.5
2024,2.0,UKI,1.45,21.25
2024,3.0,UKJ,1.45,18.5
2024,4.0,UKK,1.45,19.41
2024,5.0,UKH,1.45,17.59
2024,6.0,UKF,1.45,21.0
2024,7.0,UKG,1.45,23.0
2024,8.0,UKE,1.45,19.120001
2024,9.0,UKD,1.45,21.0
2024,10.0,UKC,1.45,24.17
2024,11.0,UKL,1.45,22.5
2024,12.0,UKM,1.45,20.879999
2024,13.0,UKN,1.55,23.5
