Issuer,Sovereignity Type,Sector,TRBC Sector,Region,Income Group,Development Status,Country,ISO3,Generalised Bond Type,Specified Green Bond Type,Year,Issuance Currency,Issued Amount (USD),Coupon Class,Coupon,Average Int. Rate of Govt. Debt (Private),FED Rate,ESG Score, Environmental Score 
ARION BANKI HF,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,45705510,Floating Coupon,3.7,,5.1,,
ARION BANKI HF,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Norwegian Krone,44512895,Floating Coupon,5.9,,5.1,,
ROMANIA (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Middle East & North Africa,High income,Developed,Romania,ROU,Green Bond,CBI Aligned Green bond,2024,Japanese Yen,145310436,Fixed Coupon,2.1,,5.1,,
TAIZHOU STATE-OWNED ASSETS INVESTMENT GROUP CO LTD,Non-Sovereign,Private Institution,Investment Management & Fund Operators (NEC),,,,,,Social Bond,,2024,US Dollar,90000000,Fixed Coupon,4.5,,5.1,,
JERNHUSEN AB,Non-Sovereign,Private Institution,Office Real Estate Services,,,,,,Green Bond,Self-Labeled Green Bond,2024,Swedish Krona,31993857,Floating Coupon,2.9,,5.1,,
NOUVELLE AQUITAINE  REGION OF,Non-Sovereign,Government,Public Finance Activities,,,,,,Green Bond,Self-Labeled Green Bond,2024,Euro,10327000,Fixed Coupon,2.7,,5.1,,
JB WOORI CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2024,South Korean Won,61922061,Fixed Coupon,3.5,,5.1,,
QINGDAO CHENGTOU NEW ENERGY INVESTMENT CO LTD,Non-Sovereign,Private Institution,Renewable IPPs,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,123487281,Fixed Coupon,2.7,,5.1,,
KOREA ASSET MANAGEMENT CORP,Non-Sovereign,Government,Government Administration Activities,,,,,,Social Bond,,2024,South Korean Won,96323206,Fixed Coupon,3.1,,5.1,,
HONG KONG MORTGAGE CORP LTD,Non-Sovereign,Private Institution,Diversified Investment Services,,,,,,Social Bond,,2024,US Dollar,850000000,Fixed Coupon,4.1,,5.1,,
CHINA DEVELOPMENT BANK,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,686040449,Fixed Coupon,1.5,,5.1,,
EUROGRID GMBH,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,671255000,Fixed Coupon,3.1,,5.1,,
CHINA ENERGY ENGINEERING INVESTMENT CORP LTD,Non-Sovereign,Private Institution,Investment Management & Fund Operators (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,137208090,Fixed Coupon,2.2,,5.1,,
ZHAOQING GUOLIAN INVESTMENT HOLDING CO LTD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Sustainability Bond,,2024,US Dollar,300000000,Fixed Coupon,5.3,,5.1,,
SHENZHEN FUTIAN INVESTMENT HOLDINGS CO LTD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Sustainability Bond,,2024,Chinese Yuan,411624269,Fixed Coupon,2.7,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,48161603,Fixed Coupon,3.1,,5.1,,
TAICANG WATER TREATMENT CO LTD,Non-Sovereign,Private Institution,Water & Related Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,15092890,Fixed Coupon,2.4,,5.1,,
SUZHOU WUZHONG GUOTAI DEVELOPMENT CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,85069016,Fixed Coupon,2.3,,5.1,,
KEB HANA CARD CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Social Bond,,2024,South Korean Won,6880229,Fixed Coupon,3.3,,5.1,,
FOSHAN SANSHUI INVESTMENT DEVELOPMENT GROUP CO LTD,Non-Sovereign,Private Institution,Environmental Services & Equipment (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,145440575,Fixed Coupon,3.1,,5.1,,
RIKSHEM AB (PUBL),Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Swedish Krona,36564408,Floating Coupon,2.9,,5.1,,
STATKRAFT AS,Non-Sovereign,Private Institution,Alternative Electric Utilities,,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,127975429,Floating Coupon,2.9,,5.1,,
HYUNDAI CAPITAL SERVICES INC,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,South Korean Won,41281374,Fixed Coupon,3.3,,5.1,,
HYUNDAI CAPITAL SERVICES INC,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,South Korean Won,27520916,Floating Coupon,3.4,,5.1,,
WUHAN METRO GROUP CO LTD,Non-Sovereign,Private Institution,Commuting Services,,,,,,Sustainability Bond,,2024,US Dollar,400000000,Fixed Coupon,4.5,,5.1,,
TRIUMPH SCIENCE & TECHNOLOGY GROUP CO,Non-Sovereign,Private Institution,Glass,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,137208090,Fixed Coupon,2.5,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,96323206,Fixed Coupon,3.1,,5.1,,
CHANGSHA JINZHOU NEW TOWN INVESTMENT HOLDING GROUP CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,68604045,Fixed Coupon,5.0,,5.1,,
CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO LTD,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,35674103,Fixed Coupon,2.4,,5.1,,
CCCI TREASURE LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,301857798,Fixed Coupon,2.5,,5.1,,
HAINAN  PROVINCE OF,Non-Sovereign,Government,Public Finance Activities,,,,,,Sustainability Bond,,2024,Chinese Yuan,137208090,Fixed Coupon,2.1,,5.1,,
CHINA CONSTRUCTION BANK CORP,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,2744161796,Fixed Coupon,1.9,,5.1,,
ARGENTA SPAARBANK NV,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,774525000,Fixed Coupon,2.5,,5.1,,
GYEONGGI HOUSING & URBAN DEVELOPMENT CORP,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,South Korean Won,75682519,Fixed Coupon,3.2,,5.1,,
KFW,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,British Pound,930675000,Fixed Coupon,3.9,,5.1,,
CASSA CENTRALE BANCA CREDITO COOPERATIVO ITALIANO SPA,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,103270000,Variable Coupon,2.5,,5.1,,
NYOCOR CO LTD,Non-Sovereign,Private Institution,Solar Electric Utilities,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,27441618,Fixed Coupon,2.6,,5.1,,
HUZHOU MOGANSHAN HIGH-TECH GROUP CO LTD,Non-Sovereign,Private Institution,Diversified Industrial Goods Wholesale,,,,,,Sustainability Bond,,2024,US Dollar,210000000,Fixed Coupon,5.4,,5.1,,
ICHIGO INC,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Japanese Yen,19815059,Fixed Coupon,1.7,,5.1,,
VASAKRONAN AB (PUBL),Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,27423306,Fixed Coupon,2.7,,5.1,,
VASAKRONAN AB (PUBL),Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,18282204,Floating Coupon,2.9,,5.1,,
BANK OF CHINA LTD (PARIS BRANCH),Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,US Dollar,300000000,Floating Coupon,4.9,,5.1,,
HANA CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2024,South Korean Won,41281374,Fixed Coupon,3.4,,5.1,,
JB WOORI CAPITAL CO LTD,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Sustainability Bond,,2024,South Korean Won,13760458,Fixed Coupon,3.5,,5.1,,
NONGHYUP BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2024,South Korean Won,89442977,Fixed Coupon,3.2,,5.1,,
360ENERGY SA,Non-Sovereign,Private Institution,Renewable IPPs,,,,,,Green Bond,CBI Aligned Green bond,2024,US Dollar,22278429,Fixed Coupon,8.0,,5.1,,
SHANGRAO URBAN OPERATION HOLDING GROUP CO LTD,Non-Sovereign,Private Institution,Aluminum (NEC),,,,,,Sustainability Bond,,2024,Chinese Yuan,119371038,Fixed Coupon,6.0,,5.1,,
HING YIP HOLDINGS LTD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Sustainability Bond,,2024,US Dollar,57000000,Fixed Coupon,7.0,,5.1,,
ZHENGZHOU METRO GROUP CO LTD,Non-Sovereign,Private Institution,Commuting Services,,,,,,Sustainability Bond,,2024,US Dollar,500000000,Fixed Coupon,4.8,,5.1,,
CHILE  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Latin America & Caribbean,High income,Developing,Chile,CHL,Social Bond,,2024,Chilean Peso,977584934,Fixed Coupon,4.9,,5.1,,
NONGHYUP BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2024,South Korean Won,48161603,Fixed Coupon,3.2,,5.1,,
NORION BANK AB,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Swedish Krona,45705510,Floating Coupon,4.6,,5.1,,
HUANENG TIANCHENG FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Commercial Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,137208090,Fixed Coupon,2.4,,5.1,,
SOCIETE NATIONALE SNCF SA,Non-Sovereign,Private Institution,Passenger Transportation. Ground & Sea (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,154905000,Fixed Coupon,3.1,,5.1,,
SOCIETE NATIONALE SNCF SA,Non-Sovereign,Private Institution,Passenger Transportation. Ground & Sea (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,51635000,Fixed Coupon,3.1,,5.1,,
FUQING CITY STATE-OWNED ASSETS OPERATION INVESTMENT GROUP CO LTD,Non-Sovereign,Private Institution,Residential Real Estate Services,,,,,,Social Bond,,2024,Chinese Yuan,274416180,Fixed Coupon,3.0,,5.1,,
EUROPEAN ENERGY A/S,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,387262500,Floating Coupon,6.3,,5.1,,
SICHUAN NEW ENERGY POWER CO LTD,Non-Sovereign,Private Institution,Electric Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,27441618,Fixed Coupon,2.4,,5.1,,
SANTANDER CONSUMER BANK AS,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,CBI Aligned Green bond,2024,Norwegian Krone,26707737,Floating Coupon,5.1,,5.1,,
CHENGDU ETDZ STATE OWNED INVESTMENT GROUP CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,US Dollar,151660000,Fixed Coupon,6.5,,5.1,,
WUHAN FINANCIAL HOLDING GROUP CO LTD,Non-Sovereign,Private Institution,Petroleum Product Wholesale,,,,,,Sustainability Bond,,2024,US Dollar,450000000,Fixed Coupon,5.4,,5.1,,
LUHENG INTERNATIONAL CO LTD,Non-Sovereign,Private Institution,Business Support Services (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,51453034,Fixed Coupon,3.7,,5.1,,
JINAN URBAN CONSTRUCTION INTERNATIONAL INVESTMENT CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,US Dollar,506000000,Fixed Coupon,5.0,,5.1,,
NEW DEVELOPMENT BANK,Non-Sovereign,Government,Public Finance Activities,,,,,,Green Bond,CBI Aligned Green bond,2024,US Dollar,1250000000,Fixed Coupon,4.7,,5.1,,
SUZHOU PUBLIC TRANSPORT GROUP CO LTD,Non-Sovereign,Private Institution,Commuting Services,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,54883236,Fixed Coupon,2.4,,5.1,,
XIHUI HAIWAI I INVESTMENT HOLDINGS CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,Chinese Yuan,293899728,Fixed Coupon,2.7,,5.1,,
CHN ENERGY RENEWABLE CO LTD,Non-Sovereign,Private Institution,Wind Electric Utilities,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,2.2,,5.1,,
XCMG CONSTRUCTION MACHINERY CO LTD,Non-Sovereign,Private Institution,Construction Machinery,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,2.1,,5.1,,
CENTURY IRON AND STEEL INDUSTRIAL CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Taiwanese Dollar,60916179,Discount/Zero Coupon,0.0,,5.1,,
YANGZHOU HANJIANG DISTRICT STATE-OWNED CAPITAL INVESTMENT GROUP CO LTD,Non-Sovereign,Private Institution,Investment Management,,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,205812135,Fixed Coupon,3.6,,5.1,,
THAIFOODS GROUP PCL,Non-Sovereign,Private Institution,Meat Processing,,,,,,Social Bond,,2024,Thai Baht,17714792,Fixed Coupon,4.8,,5.1,,
KOREA HOUSING FINANCE CORP,Non-Sovereign,Private Institution,Personal & Car Loans,,,,,,Social Bond,,2024,South Korean Won,110083664,Fixed Coupon,3.1,,5.1,,
BERAPIT MOBILITY SDN BHD,Non-Sovereign,Private Institution,Heavy Machinery & Vehicles (NEC),,,,,,Sustainability Bond,,2024,Malaysian Ringgit,2253775,Fixed Coupon,4.4,,5.1,,
CHONGQING JIANGJIN DISTRICT JIANGDING INDUSTRIAL DEVELOPMENT CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,US Dollar,60000000,Fixed Coupon,6.5,,5.1,,
ADVANCED INFO SERVICE PCL,Non-Sovereign,Private Institution,Wireless Telecommunications Services (NEC),,,,,,Sustainability Bond,,2024,Thai Baht,59049306,Fixed Coupon,2.5,,5.1,,
SHANGHAI HUAYI HOLDING GROUP CO LTD,Non-Sovereign,Private Institution,Diversified Chemicals,,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,137208090,Fixed Coupon,2.1,,5.1,,
BEIJING DRAINAGE GROUP CO LTD,Non-Sovereign,Private Institution,Water & Related Utilities (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,205812135,Fixed Coupon,2.2,,5.1,,
SUZANO INTERNATIONAL FINANCE BV,Non-Sovereign,Private Institution,Paper Products (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,164649708,Fixed Coupon,2.8,,5.1,,
FONDO FINANCIERO PARA EL DESARROLLO DE LA CUENCA DEL PLATA,Non-Sovereign,Private Institution,Closed End Funds,,,,,,Sustainability Bond,,2024,Swiss Franc,159445788,Fixed Coupon,2.6,,5.1,,
SPAREBANK 1 NORD-NORGE,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Norwegian Krone,26707737,Floating Coupon,5.5,,5.1,,
CHINA DEVELOPMENT BANK,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,686040449,Fixed Coupon,1.4,,5.1,,
CHONGQING SANFENG ENVIRONMENT GROUP CORP LTD,Non-Sovereign,Private Institution,Biomass & Waste to Energy Electric Utilities,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,20581213,Fixed Coupon,2.3,,5.1,,
HUADIAN FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Consumer Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,54883236,Fixed Coupon,2.3,,5.1,,
CHENGDU ETDZ STATE OWNED INVESTMENT GROUP CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,US Dollar,348340000,Fixed Coupon,6.5,,5.1,,
CITIBANK NA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2024,US Dollar,2200000000,Floating Coupon,4.9,,5.1,,
CITIBANK NA,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Social Bond,,2024,US Dollar,800000000,Floating Coupon,5.2,,5.1,,
SPAREBANK 1 SMN,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Norwegian Krone,22256448,Floating Coupon,5.5,,5.1,,
KOREA RAILROAD CORP,Non-Sovereign,Private Institution,Rail Services,,,,,,Green Bond,Self-Labeled Green Bond,2024,Swiss Franc,131955135,Fixed Coupon,0.9,,5.1,,
QINGDAO BULLET TRAIN TOWN INVESTMENT GROUP CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,US Dollar,50000000,Fixed Coupon,5.4,,5.1,,
WENZHOU LUCHENG DISTRICT STATE-OWNED HOLDING GROUP CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,266732527,Fixed Coupon,3.9,,5.1,,
LOGISTRI FASTIGHETS AB (PUBL),Non-Sovereign,Private Institution,Industrial Real Estate Rental & Development,,,,,,Green Bond,Self-Labeled Green Bond,2024,Swedish Krona,27423306,Floating Coupon,6.4,,5.1,,
ZHEJIANG CHANGXING FINANCIAL HOLDING GROUP CO LTD,Non-Sovereign,Private Institution,Metal Merchant Wholesale,,,,,,Green Bond,CBI Aligned Green bond,2024,US Dollar,98000000,Fixed Coupon,5.4,,5.1,,
CNNC FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Commercial Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,2.2,,5.1,,
ORIENT SECURITIES CO LTD,Non-Sovereign,Private Institution,Brokerage Services,,,,,,Sustainability Bond,,2024,Chinese Yuan,274416180,Fixed Coupon,2.2,,5.1,,
HUANENG TIANCHENG FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Commercial Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,137208090,Fixed Coupon,2.3,,5.1,,
NINGBO RAW WATER CO LTD,Non-Sovereign,Private Institution,Water Supply & Irrigation Systems,,,,,,Sustainability Bond,,2024,Chinese Yuan,27441618,Fixed Coupon,2.3,,5.1,,
CHENGDU WUHOU INDUSTRY INVESTMENT & DEVELOPMENT GROUP CO LTD,Non-Sovereign,Private Institution,Land Division & Subdivision,,,,,,Sustainability Bond,,2024,Chinese Yuan,150928899,Fixed Coupon,3.0,,5.1,,
HUADIAN FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Consumer Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,13720809,Fixed Coupon,2.4,,5.1,,
LAISHANG BANK CO LTD,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,137208090,Fixed Coupon,2.4,,5.1,,
CINIS FERTILIZER AB,Non-Sovereign,Private Institution,Fertilizers,,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,50276061,Floating Coupon,10.6,,5.1,,
TONGWEI CO LTD,Non-Sovereign,Private Institution,Photovoltaic Solar Systems & Equipment,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,3.0,,5.1,,
SHANDONG PUBLIC HOLDINGS LTD,Non-Sovereign,Private Institution,Water Supply & Irrigation Systems,,,,,,Sustainability Bond,,2024,Chinese Yuan,102906067,Fixed Coupon,3.2,,5.1,,
BANK OF HUNAN CORP LTD,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,480228314,Fixed Coupon,2.1,,5.1,,
FOSHAN NANHAI LIANDA INVESTMENT HOLDINGS LTD,Non-Sovereign,Private Institution,Investment Management & Fund Operators (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,198951730,Fixed Coupon,3.5,,5.1,,
BANK OF CHANGSHA CO LTD,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,480228314,Fixed Coupon,2.0,,5.1,,
BANK OF CHANGSHA CO LTD,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,205812135,Fixed Coupon,2.0,,5.1,,
CHINA LONGYUAN POWER GROUP CORP LTD,Non-Sovereign,Private Institution,Wind Electric Utilities,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,343020224,Fixed Coupon,2.0,,5.1,,
CHINA OIL AND GAS PIPELINE NETWORK CORP,Non-Sovereign,Private Institution,Oil & Gas Transportation Services (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,411624269,Fixed Coupon,1.9,,5.1,,
GENOVA PROPERTY GROUP AB,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,41134959,Floating Coupon,6.7,,5.1,,
AGILYX ASA,Non-Sovereign,Private Institution,Waste Management. Disposal & Recycling Services,,,,,,Green Bond,CBI Aligned Green bond,2024,US Dollar,50000000,Fixed Coupon,13.5,,5.1,,
SKANSKA FINANCIAL SERVICES AB,Non-Sovereign,Private Institution,Consumer Lending (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Swedish Krona,91411021,Floating Coupon,3.8,,5.1,,
CAGAMAS BHD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Sustainability Bond,,2024,Malaysian Ringgit,56344377,Fixed Coupon,3.8,,5.1,,
LINKOPING  MUNICIPALITY OF,Non-Sovereign,Government,Public Finance Activities,,,,,,Green Bond,Self-Labeled Green Bond,2024,Swedish Krona,18282204,Floating Coupon,2.7,,5.1,,
INCHEON TRANSIT CORP,Non-Sovereign,Private Institution,Commuting Services,,,,,,Green Bond,CBI Aligned Green bond,2024,South Korean Won,13760458,Fixed Coupon,3.0,,5.1,,
CHINA THREE GORGES CORP,Non-Sovereign,Private Institution,Hydroelectric & Tidal Utilities,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,274416180,Fixed Coupon,1.9,,5.1,,
QINGDAO WEST COAST UTILITY GROUP CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,Chinese Yuan,68604045,Fixed Coupon,2.3,,5.1,,
GOVERNMENT HOUSING BANK,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,Thai Baht,44286980,Fixed Coupon,2.4,,5.1,,
QUZHOU QUTONG TRANSPORTATION INVESTMENT DEVELOPMENT CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,US Dollar,200000000,Fixed Coupon,4.9,,5.1,,
BANK OF XIAN CO LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,205812135,Fixed Coupon,2.0,,5.1,,
GUANGDONG SHUNDE RURAL COMMERCIAL BANK CO LTD,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,137208090,Fixed Coupon,2.0,,5.1,,
CHINA RESOURCES FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Commercial Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,137208090,Fixed Coupon,2.0,,5.1,,
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,2744161796,Fixed Coupon,1.7,,5.1,,
HUZHOU CITY INVESTMENT DEVELOPMENT GROUP CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,US Dollar,300000000,Fixed Coupon,4.7,,5.1,,
CHONGQING SANFENG ENVIRONMENT GROUP CORP LTD,Non-Sovereign,Private Institution,Biomass & Waste to Energy Electric Utilities,,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,48022831,Fixed Coupon,2.0,,5.1,,
EUROPI PROPERTY GROUP AB,Non-Sovereign,Private Institution,Real Estate Rental. Development & Operations (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Euro,51635000,Floating Coupon,7.9,,5.1,,
BANK OF WEIFANG CO LTD,Non-Sovereign,Private Institution,Corporate Banks,,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,137208090,Fixed Coupon,2.1,,5.1,,
CIXI STATE-OWNED ASSETS INVESTMENT HOLDING CO LTD,Non-Sovereign,Private Institution,Construction & Engineering (NEC),,,,,,Sustainability Bond,,2024,US Dollar,300000000,Fixed Coupon,4.9,,5.1,,
SAN SHUI INTERNATIONAL DEVELOPMENT CO LTD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Chinese Yuan,29888038,Fixed Coupon,3.1,,5.1,,
HUANENG TIANCHENG FINANCIAL LEASING CO LTD,Non-Sovereign,Private Institution,Commercial Leasing,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,150928899,Fixed Coupon,2.1,,5.1,,
NYOCOR CO LTD,Non-Sovereign,Private Institution,Solar Electric Utilities,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,75464449,Fixed Coupon,2.2,,5.1,,
ACHMEA BANK NV,Non-Sovereign,Private Institution,Retail & Mortgage Banks,,,,,,Green Bond,CBI Aligned Green bond,2024,Euro,516350000,Fixed Coupon,2.8,,5.1,,
QINGDAO PINGDU HOLDING GROUP CO LTD,Non-Sovereign,Private Institution,Investment Management & Fund Operators (NEC),,,,,,Social Bond,,2024,US Dollar,216000000,Fixed Coupon,6.9,,5.1,,
