Issuer,Sovereignity Type,Sector,TRBC Sector,Region,Income Group,Development Status,Country,ISO3,Generalised Bond Type,Specified Green Bond Type,Year,Issuance Currency,Issued Amount (USD),Coupon Class,Coupon,Average Int. Rate of Govt. Debt (Private),FED Rate,ESG Score, Environmental Score 
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,US Dollar,15000000,Fixed Coupon,6.2,,5.1,,
CHENGDU PUBLIC TRAFFIC GROUP CO LTD,Non-Sovereign,Private Institution,Passenger Transportation. Ground & Sea (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,27441618,Fixed Coupon,2.5,,5.1,,
AUSTRIA  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Europe & Central Asia,High income,Developed,Austria,AUT,Green Bond,CBI Aligned Green bond,2024,Euro,1994926487,Discount/Zero Coupon,0.0,,5.1,,
HUANENG LANCANG RIVER HYDROPOWER INC,Non-Sovereign,Private Institution,Renewable IPPs,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,2.0,,5.1,,
HUANENG LANCANG RIVER HYDROPOWER INC,Non-Sovereign,Private Institution,Renewable IPPs,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,46650751,Fixed Coupon,1.9,,5.1,,
CAGAMAS BHD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Social Bond,,2024,Malaysian Ringgit,32679739,Fixed Coupon,3.5,,5.1,,
TONGWEI CO LTD,Non-Sovereign,Private Institution,Photovoltaic Solar Systems & Equipment,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,2.1,,5.1,,
AUSTRIA  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Europe & Central Asia,High income,Developed,Austria,AUT,Green Bond,CBI Aligned Green bond,2024,Euro,2106274679,Discount/Zero Coupon,0.0,,5.1,,
MALAYSIA RAIL LINK SDN BHD,Non-Sovereign,Government,Government Administration Activities,,,,,,Sustainability Bond,,2024,Malaysian Ringgit,112688754,Discount/Zero Coupon,0.0,,5.1,,
GODOY CRUZ  MUNICIPALITY OF,Non-Sovereign,Private Institution,Unknown,,,,,,Sustainability Bond,,2024,Argentinian Peso,569665,Floating Coupon,43.8,,5.1,,
GOLDWIND SCIENCE & TECHNOLOGY CO LTD,Non-Sovereign,Private Institution,Wind Systems & Equipment,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,68604045,Fixed Coupon,2.1,,5.1,,
GOLDWIND SCIENCE & TECHNOLOGY CO LTD,Non-Sovereign,Private Institution,Wind Systems & Equipment,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,102906067,Fixed Coupon,2.0,,5.1,,
GOLDWIND SCIENCE & TECHNOLOGY CO LTD,Non-Sovereign,Private Institution,Wind Systems & Equipment,,,,,,Green Bond,CBI Aligned Green bond,2024,Chinese Yuan,102906067,Fixed Coupon,2.0,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,US Dollar,27200000,Fixed Coupon,7.8,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,US Dollar,25000000,Fixed Coupon,7.8,,5.1,,
ASIAN DEVELOPMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Green Bond,CBI Aligned Green bond,2024,Hong Kong Dollar,25671964,Fixed Coupon,3.9,,5.1,,
BNP PARIBAS ISSUANCE BV,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,US Dollar,1000000,Fixed Coupon,6.3,,5.1,,
CAGAMAS BHD,Non-Sovereign,Private Institution,Corporate Financial Services (NEC),,,,,,Social Bond,,2024,Malaysian Ringgit,32679739,Fixed Coupon,3.6,,5.1,,
BNP PARIBAS ISSUANCE BV,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,US Dollar,500000,Fixed Coupon,6.0,,5.1,,
BNP PARIBAS ISSUANCE BV,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,US Dollar,1000000,Fixed Coupon,6.6,,5.1,,
BNP PARIBAS ISSUANCE BV,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,US Dollar,1000000,Fixed Coupon,6.0,,5.1,,
ASIAN DEVELOPMENT BANK,Non-Sovereign,International Institution,National Security & International Affairs,,,,,,Green Bond,CBI Aligned Green bond,2024,Hong Kong Dollar,25671964,Fixed Coupon,3.8,,5.1,,
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,British Pound,310225000,Floating Coupon,5.0,,5.1,,
EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,Self-Labeled Green Bond,2024,Hong Kong Dollar,38507945,Fixed Coupon,3.9,,5.1,,
BNP PARIBAS ISSUANCE BV,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Green Bond,CBI Aligned Green bond,2024,US Dollar,1000000,Fixed Coupon,8.0,,5.1,,
TURKIYE VAKIFLAR BANKASI TAO,Non-Sovereign,Private Institution,Banks (NEC),,,,,,Sustainability Bond,,2024,US Dollar,50000000,Fixed Coupon,6.9,,5.1,,
