countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
THA,2004,3.38947495269123,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TH,Thailand
MYS,2023,1.98111049295111,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2022,3.68689336269238,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2021,5.41625984914692,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2020,1.20275464255821,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2019,2.50697705748044,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2018,2.31458721219734,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2017,2.93582038058561,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2016,4.47130958598651,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2015,3.27094402931735,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2014,3.14122940365348,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2013,3.49431175959971,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2012,2.8290573817453,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2011,5.07446032143377,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2010,4.26864663854031,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2009,0.056692316075743,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2008,3.28081949125174,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2007,4.68684578287436,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2006,4.72716484834358,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2005,2.73438734940078,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
MYS,2004,3.50787262049413,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",MY,Malaysia
SGP,2023,34.9485153079274,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
SGP,2022,29.8437975950876,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",SG,Singapore
